Gene Symbol,Gene ID 
Cd8a,ENSMUSG00000053977
Gfap,ENSMUSG00000020932
Adam12,ENSMUSG00000054555
Tmem119,ENSMUSG00000054675
C4b,ENSMUSG00000073418
Fto,ENSMUSG00000055932
S100a8,ENSMUSG00000056054
Il6st,ENSMUSG00000021756
Tubb3,ENSMUSG00000062380
Vegfa,ENSMUSG00000023951
Syt9,ENSMUSG00000062542
Cd40,ENSMUSG00000017652
Ifnlr1,ENSMUSG00000062157
Calcr,ENSMUSG00000023964
Atp13a5,ENSMUSG00000048939
Csf2ra,ENSMUSG00000059326
Nfat5,ENSMUSG00000003847
Cxcl11,ENSMUSG00000060183
Ggta1,ENSMUSG00000035778
Nlrp3,ENSMUSG00000032691
Itpr2,ENSMUSG00000030287
Notch2,ENSMUSG00000027878
Fcer1g,ENSMUSG00000058715
Ifitm2,ENSMUSG00000060591
Cr2,ENSMUSG00000026616
Gpx1,ENSMUSG00000063856
Pappa,ENSMUSG00000028370
Cd47,ENSMUSG00000055447
Slc17a7,ENSMUSG00000070570
Isg15,ENSMUSG00000035692
Hmgb1,ENSMUSG00000066551
Stat2,ENSMUSG00000040033
Tnfsf18,ENSMUSG00000066755
Cntn2,ENSMUSG00000053024
Tfeb,ENSMUSG00000023990
Notch3,ENSMUSG00000038146
Myrf,ENSMUSG00000036098
Cst7,ENSMUSG00000068129
Cntn6,ENSMUSG00000030092
Il2rb,ENSMUSG00000068227
Sp9,ENSMUSG00000068859
Nes,ENSMUSG00000004891
Fcrls,ENSMUSG00000015852
Lyz2,ENSMUSG00000069516
Ezh2,ENSMUSG00000029687
Cd109,ENSMUSG00000046186
Nfasc,ENSMUSG00000026442
Il11,ENSMUSG00000004371
Gad1,ENSMUSG00000070880
Igf1,ENSMUSG00000020053
Fgf14,ENSMUSG00000025551
Csf2rb,ENSMUSG00000071713
Sox2,ENSMUSG00000074637
Abcc9,ENSMUSG00000030249
Lrig1,ENSMUSG00000030029
Ptn,ENSMUSG00000029838
Il22ra1,ENSMUSG00000037157
Mog,ENSMUSG00000076439
Mpl,ENSMUSG00000006389
H2-T23,ENSMUSG00000067212
Jak1,ENSMUSG00000028530
Il12b,ENSMUSG00000004296
Gap43,ENSMUSG00000047261
Ifit1,ENSMUSG00000034459
Ifit2,ENSMUSG00000045932
Camk2a,ENSMUSG00000024617
Ccl19,ENSMUSG00000071005
Pecam1,ENSMUSG00000020717
Cnp,ENSMUSG00000006782
Ccr7,ENSMUSG00000037944
Tnfrsf18,ENSMUSG00000041954
Sirpa,ENSMUSG00000037902
Sema6d,ENSMUSG00000027200
Cd63,ENSMUSG00000025351
Kitl,ENSMUSG00000019966
Esr1,ENSMUSG00000019768
Tnfrsf9,ENSMUSG00000028965
Clstn1,ENSMUSG00000039953
Cxcr2,ENSMUSG00000026180
Lepr,ENSMUSG00000057722
Ngf,ENSMUSG00000027859
Mapt,ENSMUSG00000018411
Tle1,ENSMUSG00000008305
Tnc,ENSMUSG00000028364
Mfge8,ENSMUSG00000030605
Gria2,ENSMUSG00000033981
Il12a,ENSMUSG00000027776
Klk6,ENSMUSG00000050063
Il11ra1,ENSMUSG00000073889
Il18r1,ENSMUSG00000026070
Nlrp1a,ENSMUSG00000069830
Chd3,ENSMUSG00000018474
Sparc,ENSMUSG00000018593
Fbln1,ENSMUSG00000006369
Ntrk2,ENSMUSG00000055254
Nr3c2,ENSMUSG00000031618
Esr2,ENSMUSG00000021055
Epo,ENSMUSG00000029711
Pax6,ENSMUSG00000027168
Tspan18,ENSMUSG00000027217
Cux2,ENSMUSG00000042589
Rgs8,ENSMUSG00000042671
Clec7a,ENSMUSG00000079293
Cd27,ENSMUSG00000030336
Chd4,ENSMUSG00000063870
Bcl2,ENSMUSG00000057329
Il13ra2,ENSMUSG00000031289
Lhx6,ENSMUSG00000026890
Cxcl9,ENSMUSG00000029417
Foxp4,ENSMUSG00000023991
Foxp1,ENSMUSG00000030067
Gnrhr,ENSMUSG00000029255
Hopx,ENSMUSG00000059325
Fbln2,ENSMUSG00000064080
Ehmt2,ENSMUSG00000013787
Il1r1,ENSMUSG00000026072
Met,ENSMUSG00000009376
Foxp2,ENSMUSG00000029563
Nr3c1,ENSMUSG00000024431
Lix1,ENSMUSG00000047786
Ctss,ENSMUSG00000038642
Fgfr1,ENSMUSG00000031565
Il12rb2,ENSMUSG00000018341
Ifnar2,ENSMUSG00000022971
Grm4,ENSMUSG00000063239
Il23r,ENSMUSG00000049093
Otx2,ENSMUSG00000021848
Csf1,ENSMUSG00000014599
Lmo4,ENSMUSG00000028266
Tnfrsf14,ENSMUSG00000042333
Fgfr2,ENSMUSG00000030849
Prlr,ENSMUSG00000005268
Mri1,ENSMUSG00000004996
Mfap4,ENSMUSG00000042436
Mia,ENSMUSG00000089661
Stat3,ENSMUSG00000004040
Il4,ENSMUSG00000000869
Il15ra,ENSMUSG00000023206
Vegfb,ENSMUSG00000024962
Nfkb1,ENSMUSG00000028163
Mbp,ENSMUSG00000041607
Irf9,ENSMUSG00000002325
Mx1,ENSMUSG00000000386
Il20rb,ENSMUSG00000044244
Nrg4,ENSMUSG00000032311
Mmp9,ENSMUSG00000017737
Il9r,ENSMUSG00000020279
Sstr2,ENSMUSG00000047904
Lgals3,ENSMUSG00000050335
Aim2,ENSMUSG00000037860
Prdx1,ENSMUSG00000028691
Dlx1,ENSMUSG00000041911
Ccl22,ENSMUSG00000031779
C4a,ENSMUSG00000015451
Reln,ENSMUSG00000042453
Tle3,ENSMUSG00000032280
Nrg3,ENSMUSG00000041014
Tnf,ENSMUSG00000024401
Il5ra,ENSMUSG00000005364
Unc5d,ENSMUSG00000063626
Gdf10,ENSMUSG00000021943
Il1f5,ENSMUSG00000026983
Erap1,ENSMUSG00000021583
Idi1,ENSMUSG00000058258
Cntn1,ENSMUSG00000055022
Tap1,ENSMUSG00000037321
P2ry12,ENSMUSG00000036353
Ccr5,ENSMUSG00000079227
Lifr,ENSMUSG00000054263
Ang,ENSMUSG00000072115
Mdga1,ENSMUSG00000043557
Aif1,ENSMUSG00000024397
Apoe,ENSMUSG00000002985
Psme1,ENSMUSG00000022216
Prox1,ENSMUSG00000010175
Cux1,ENSMUSG00000029705
Bdnf,ENSMUSG00000048482
Satb2,ENSMUSG00000038331
Hmgcs1,ENSMUSG00000093930
Ccr9,ENSMUSG00000029530
Tnfsf12,ENSMUSG00000097328
Ptprc,ENSMUSG00000026395
Xcr1,ENSMUSG00000060509
Ccl20,ENSMUSG00000026166
Stat1,ENSMUSG00000026104
Mag,ENSMUSG00000036634
Pgr,ENSMUSG00000031870
Cxcr1,ENSMUSG00000048480
Mstn,ENSMUSG00000026100
Cr1l,ENSMUSG00000016481
Il6,ENSMUSG00000025746
Prom1,ENSMUSG00000029086
Sv2a,ENSMUSG00000038486
Mef2c,ENSMUSG00000005583
Il6ra,ENSMUSG00000027947
Grin2a,ENSMUSG00000059003
Eif4e,ENSMUSG00000028156
Fgf2,ENSMUSG00000037225
Cxcl2,ENSMUSG00000058427
Cxcl17,ENSMUSG00000060188
Ccl24,ENSMUSG00000004814
Ptprz1,ENSMUSG00000068748
Kcnj8,ENSMUSG00000030247
Ntf3,ENSMUSG00000049107
Cd33,ENSMUSG00000004609
Pycard,ENSMUSG00000030793
Nrg1,ENSMUSG00000118541
Tyrobp,ENSMUSG00000030579
Ifitm6,ENSMUSG00000059108
Il18bp,ENSMUSG00000070427
Flt3l,ENSMUSG00000110206
Casp3,ENSMUSG00000031628
Tyk2,ENSMUSG00000032175
Cxcr6,ENSMUSG00000048521
Cryab,ENSMUSG00000032060
Gnrh1,ENSMUSG00000015812
Il3ra,ENSMUSG00000068758
Il7r,ENSMUSG00000003882
Mefv,ENSMUSG00000022534
Sox10,ENSMUSG00000033006
Ciita,ENSMUSG00000022504
Ccr6,ENSMUSG00000040899
Cd80,ENSMUSG00000075122
Tapbp,ENSMUSG00000024308
Lhcgr,ENSMUSG00000024107
Gal,ENSMUSG00000024907
Aqp4,ENSMUSG00000024411
